INV_ID,INV_DATE,SELLER_ID,BUYER_ID,SELLER_NAME,BUYER_NAME,SELLER_NON_COMPLIANCE,BUYER_NON_COMPLIANCE,BUYER_ID_TYPE,INVOICE_NET_TOTAL_AMOUNT,INVOICE_GROSS_TOTAL_AMOUNT,INVOICE_TAX_AMOUNT,NO_OF_LINES,PROBABILITY_OF_FRAUD
7966461148,11/07/2019,3631325814,9518300779,Cyber Security 3,Continential Data Corporation 8,0,0,TIN,30657,36788.399999999994,6131.399999999994,6,0.874809553844077
8796296832,21/12/2019,3631325814,9518300779,Cyber Security 3,Continential Data Corporation 8,0,0,TIN,23432,28118.4,4686.4000000000015,6,0.3074008784885277
8071686749,18/08/2019,3631325814,2981119290,Cyber Security 3,Visual Automation 8,0,1,TIN,29196,35035.200000000004,5839.200000000004,9,0.09389455525533583
8607198203,02/01/2019,3631325814,7950135400,Cyber Security 3,Key Software 7,0,0,TIN,53898,64677.6,10779.599999999999,8,0.8068917635257689
4201441999,30/04/2019,4839332485,2915993852,"American Paradigm Unlimited, Inc 3",Cyber Innovation Corp 3,0,0,TIN,31346,37615.2,6269.199999999997,6,0.6222592098240712
8194905416,22/11/2019,4839332485,3823541313,"American Paradigm Unlimited, Inc 3",Key Wireless Corp 8,0,0,TIN,26362,31634.4,5272.4000000000015,7,0.2688120900422815
9027753256,13/11/2019,4839332485,4798633356,"American Paradigm Unlimited, Inc 3",Quantum Wireless 10,0,0,TIN,16075,19290.0,3215.0,6,0.21453733364364222
7805717479,25/09/2019,6981756676,401573812,Moving Business 10,Canadian Consulting Design 6,0,0,TIN,42631,51157.2,8526.199999999997,7,0.6874563101724086
5409788067,13/07/2019,6981756676,284707048,Moving Business 10,Global Solutions Studios 7,0,0,TIN,41319,49582.799999999996,8263.799999999996,9,0.20104095007941475
6659088456,20/02/2019,6981756676,1385306425,Moving Business 10,Silicon Innovation LLC 10,0,0,TIN,19130,22955.999999999996,3825.9999999999964,6,0.035539446938147604
2059239744,10/06/2019,6981756676,8188147916,Moving Business 10,American Software,0,0,TIN,41203,49443.600000000006,8240.600000000006,8,0.5660406740065879
3691483901,13/03/2019,4997713523,9179873185,"Open Networks Unlimited, Inc 5",Canadian Consulting Design 9,0,0,TIN,17476,20971.2,3495.2000000000007,5,0.5326418221672323
21587746,13/02/2019,4997713523,166621836,"Open Networks Unlimited, Inc 5",Technical Computer Ltd 3,0,0,TIN,34485,41381.99999999999,6896.999999999993,8,0.6702382689535504
7141460140,02/12/2019,4997713523,7673024596,"Open Networks Unlimited, Inc 5",Visual Automation 4,0,0,TIN,47393,56871.6,9478.599999999999,7,0.14939981822962378
9617402384,17/10/2019,9591475563,4905191198,Corporate Opportunities Ltd 4,Expert Telecom 6,0,0,TIN,21965,26358.0,4393.0,7,0.19815452615737567
5061551011,16/09/2019,9591475563,9242934133,Corporate Opportunities Ltd 4,External Solutions LLC 5,0,0,TIN,73764,88516.8,14752.800000000003,9,0.31551054221109226
7216497940,25/06/2019,1158429050,2620711188,Profit Server Concierge 7,Technical Concepts Studios 5,0,1,TIN,56217,67460.4,11243.399999999994,7,0.2925345336445947
3116840845,21/04/2019,1158429050,7791591251,Profit Server Concierge 7,Expert Interactive Resources 3,0,0,TIN,41513,49815.6,8302.599999999999,6,0.3818885228141792
7026220571,03/07/2019,9162886236,9063890305,"External Client Unlimited, Inc 9",Future Solutions LLC 9,0,0,TIN,46419,55702.8,9283.800000000003,9,0.49438523592326883
2234213997,08/02/2019,9162886236,3219946246,"External Client Unlimited, Inc 9",North American Automation Corp 3,0,0,TIN,30975,37170.0,6195.0,8,0.6179586603512738
1396787186,27/12/2019,9162886236,3791750938,"External Client Unlimited, Inc 9",Integrity 9,0,0,TIN,28422,34106.399999999994,5684.399999999994,7,0.5033536013197782
1487181490,16/02/2019,7751355833,5194329945,Visual Interworks Design 2,Micro Production 3,0,0,TIN,31807,38168.399999999994,6361.399999999994,5,0.6473574773147563
