date,total_passengers,avg_ticket_price,oil_price,holiday_month,year,month
2005-01-01,324377,145.62,40.67,0,2005,1
2005-02-01,316801,150.03,46.04,0,2005,2
2005-03-01,533241,142.21,43.69,0,2005,3
2005-04-01,575245,144.16,46.74,0,2005,4
2005-05-01,317122,162.65,46.26,0,2005,5
2005-06-01,295825,146.06,47.15,1,2005,6
2005-07-01,310227,147.52,46.32,1,2005,7
2005-08-01,174700,162.68,50.69,1,2005,8
2005-09-01,125450,168.53,47.29,0,2005,9
2005-10-01,31756,148.64,52.0,0,2005,10
2005-11-01,197146,153.16,53.1,0,2005,11
2005-12-01,262223,157.21,50.5,1,2005,12
2006-01-01,315282,164.64,47.8,0,2006,1
2006-02-01,500179,151.57,49.02,0,2006,2
2006-03-01,520605,155.77,45.5,0,2006,3
2006-04-01,441256,161.39,47.81,0,2006,4
2006-05-01,512705,160.17,37.93,0,2006,5
2006-06-01,333289,156.62,40.73,1,2006,6
2006-07-01,380276,158.33,34.03,1,2006,7
2006-08-01,206005,152.63,33.78,1,2006,8
2006-09-01,122005,158.81,40.67,0,2006,9
2006-10-01,55525,159.17,37.69,0,2006,10
2006-11-01,234598,162.16,31.41,0,2006,11
2006-12-01,197637,158.72,27.83,1,2006,12
2007-01-01,285733,164.36,22.45,0,2007,1
2007-02-01,391829,167.56,28.97,0,2007,2
2007-03-01,535789,163.78,37.41,0,2007,3
2007-04-01,549235,165.26,31.3,0,2007,4
2007-05-01,526223,164.27,28.47,0,2007,5
2007-06-01,454465,164.5,32.0,1,2007,6
2007-07-01,491331,161.39,26.66,1,2007,7
2007-08-01,187486,167.08,31.45,1,2007,8
2007-09-01,105815,165.51,33.87,0,2007,9
2007-10-01,54898,176.97,34.74,0,2007,10
2007-11-01,196073,174.87,38.95,0,2007,11
2007-12-01,310317,169.43,39.3,1,2007,12
2008-01-01,320884,164.18,42.0,0,2008,1
2008-02-01,362787,162.94,39.67,0,2008,2
2008-03-01,437246,174.96,46.11,0,2008,3
2008-04-01,582047,170.81,49.89,0,2008,4
2008-05-01,562665,172.4,43.52,0,2008,5
2008-06-01,473452,161.78,45.0,1,2008,6
2008-07-01,276759,175.64,52.67,1,2008,7
2008-08-01,248572,173.77,48.82,1,2008,8
2008-09-01,166129,166.45,54.06,0,2008,9
2008-10-01,147495,170.14,48.67,0,2008,10
2008-11-01,226509,174.32,54.21,0,2008,11
2008-12-01,247887,173.76,49.79,1,2008,12
2009-01-01,394313,172.54,49.43,0,2009,1
2009-02-01,445406,173.98,52.35,0,2009,2
2009-03-01,536334,173.74,45.34,0,2009,3
2009-04-01,590503,176.26,42.18,0,2009,4
2009-05-01,396632,183.36,42.07,0,2009,5
2009-06-01,414426,163.67,43.09,1,2009,6
2009-07-01,302370,175.82,35.3,1,2009,7
2009-08-01,188889,178.38,40.18,1,2009,8
2009-09-01,144783,179.48,34.96,0,2009,9
2009-10-01,259595,176.64,38.44,0,2009,10
2009-11-01,97528,170.22,26.39,0,2009,11
2009-12-01,317462,181.14,29.98,1,2009,12
2010-01-01,215370,188.64,26.28,0,2010,1
2010-02-01,423209,172.83,28.12,0,2010,2
2010-03-01,536225,185.32,30.89,0,2010,3
2010-04-01,596897,179.86,29.46,0,2010,4
2010-05-01,580103,181.69,29.39,0,2010,5
2010-06-01,513467,177.24,30.13,1,2010,6
2010-07-01,322101,181.33,31.95,1,2010,7
2010-08-01,213011,190.0,29.31,1,2010,8
2010-09-01,245432,186.91,35.69,0,2010,9
2010-10-01,134695,193.16,36.99,0,2010,10
2010-11-01,74740,190.89,37.73,0,2010,11
2010-12-01,159337,187.7,39.93,1,2010,12
2011-01-01,286443,194.72,40.89,0,2011,1
2011-02-01,499772,188.69,47.84,0,2011,2
2011-03-01,544599,191.14,43.16,0,2011,3
2011-04-01,615238,186.02,44.08,0,2011,4
